Article	playstation	windows	series	up	360	music	design	graphics	sony	computer	adventure	switch	nes	billion	reality	kinect	flight	consoles	augmented	sound	atari	mobile	user	ar	interface	interactive	simulator	fiction	table	development	ball	platform	rockstar	virtual	online	fallout	million	us	console	taito	2600	boy	xbox	interfaces	sports	strategy	tennis	realtime	x	industry	testing	logic	lisp	studio	operating	information	c	engineering	design	java	security	systems	algorithm	scrum	test	cobol	ios	algorithms	science	agile	usability	command	compiler	quality	comments	requirements	parallel	assembly	product	team	sprint	language	functional	loop	microsoft	netbeans	tests	hopper	list	xcode	virtual	ada	data	n	code	object	performance	lovelace	comment	concurrent
Action-adventure_game	0	0	10	2	0	1	1	2	0	0	12	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	3	2	0	0	0	3	0	0	4	0	0	1	0	0	0	0	0	0	1	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Action_game	0	0	3	8	0	1	1	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	3	1	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	2	5	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	2	1	0	0	0
Action_role-playing_game	0	0	6	2	0	1	0	2	0	3	4	0	0	0	0	0	1	1	0	0	0	0	0	0	3	2	3	1	0	0	0	2	0	0	6	2	0	0	0	0	0	1	0	0	1	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Adventure_game	6	0	18	5	0	2	12	19	0	24	153	1	4	0	0	0	1	3	1	3	0	3	1	0	6	33	5	14	0	10	0	1	0	4	10	0	1	0	4	0	0	1	1	4	1	3	0	6	0	1	0	3	0	4	3	3	1	0	12	0	0	5	0	0	0	0	0	0	3	0	0	1	0	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	6	0	4	0	1	0	0	1	0	0	0	0
Amusement_arcade	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Arcade_cabinet	0	0	0	3	0	0	1	2	0	2	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
Arcade_game	6	0	2	247	0	3	5	11	2	4	1	0	0	9	0	0	5	8	0	4	5	4	0	1	0	2	0	1	0	3	1	1	0	1	6	0	74	73	13	2	0	0	3	0	1	5	0	2	1	7	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	10	0	1	0	0	0	1	0	0	0	0	0
Atari	0	0	3	0	0	1	1	1	0	10	0	0	0	0	0	0	0	6	0	0	104	0	1	0	1	14	0	0	0	3	0	2	0	0	0	0	6	3	11	0	6	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Atari_2600	4	0	1	3	1	1	8	3	1	7	3	2	1	1	0	0	0	9	0	0	130	0	0	0	3	3	0	0	0	7	2	2	0	1	0	0	6	3	27	2	70	1	3	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	8	0	0	3	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	13	0	1	0	1	0	1	0	0	0	0	0
Augmented_reality	0	2	0	5	2	7	22	6	0	13	0	0	0	1	118	0	11	0	112	4	0	10	29	98	8	9	2	0	3	8	1	2	0	39	2	0	0	7	0	0	0	0	0	2	2	0	0	7	0	1	1	0	0	1	2	29	0	1	22	0	0	24	0	0	5	0	1	3	1	0	1	1	0	0	1	1	0	0	6	2	0	3	2	0	4	0	5	0	2	0	39	0	14	0	2	3	8	0	0	0
